池州市,安徽钜芯半导体科技有限公司,设备维修员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,4K-6K
池州市贵池区,水性科天,售后服务人员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,3K-6K
池州市贵池区,福泰动力有限公司,质量部文员,中专 / 经验应届毕业生 / 性别女 / 年龄不限,招聘1人,3K-4K
池州市贵池区,水性科天,销售人员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,2K-7K
池州市贵池区,福泰动力有限公司,车工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,3K-4K
池州市,池州蓝威科技发展有限公司,弱电监控技术员,高中 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
池州市,福泰动力有限公司,质量管理部部长,大专 / 经验5年以上 / 性别不限 / 年龄不限,招聘1人,面议
池州市,池州蓝威科技发展有限公司,商务,学历不限 / 经验不限 / 性别女 / 年龄不限,招聘3人,薪资面议
池州市贵池区,福泰动力有限公司,质量部文员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,2K-3K
池州市贵池区,池州市广原餐饮服务有限公司,寒假工,学历不限 / 经验不限 / 性别女 / 20～45岁,招聘若干人,薪资面议
"池州市,池州市",福泰动力有限公司,采购专员,大专 / 经验2年以上 / 性别不限 / 20～40岁,招聘1人,3K-4K
"池州市,池州市贵池区",福泰动力有限公司,仓库物料管理,大专 / 经验2年以上 / 性别不限 / 40岁以下,招聘1人,5K-6K
池州市贵池区,福泰动力有限公司,工艺工程师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,3K-5K
池州市,福泰动力有限公司,设备工程师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,福泰动力有限公司,质检员,学历不限 / 经验1年以上 / 性别不限 / 年龄不限,招聘2人,2K-4K
池州市,池州蓝威科技发展有限公司,店面导购,中专 / 经验不限 / 性别女 / 38岁以下,招聘9人,薪资面议
池州市,安徽新春纺织科技有限公司,清洁阿姨,学历不限 / 经验不限 / 性别女 / 46～55岁,招聘4人,1K-2K
池州市,福泰动力有限公司,体系工程师,大专 / 经验3年以上 / 性别不限 / 年龄不限,招聘1人,3K-5K
池州市,太平财产保险有限公司池州中心支公司,车商渠道营业部负责人,本科 / 经验2年以上 / 性别不限 / 25～35岁,招聘1人,薪资面议
池州市,太平财产保险有限公司池州中心支公司,财务,本科 / 经验1年以上 / 性别不限 / 22～35岁,招聘1人,薪资面议
池州市,太平财产保险有限公司池州中心支公司,代理渠道营业部负责人,本科 / 经验2年以上 / 性别不限 / 25～35岁,招聘1人,薪资面议
